iter	Passed	Remaining
0	83	83134
1	144	71861
2	207	69062
3	252	62819
4	310	61772
5	373	61887
6	438	62258
7	505	62720
8	573	63191
9	641	63473
10	707	63650
11	774	63806
12	845	64218
13	921	64926
14	990	65059
15	1059	65155
16	1124	65018
17	1193	65136
18	1263	65258
19	1341	65722
20	1408	65682
21	1474	65557
22	1541	65475
23	1608	65424
24	1675	65363
25	1743	65308
26	1839	66291
27	1908	66241
28	1977	66220
29	1998	64623
30	2066	64586
31	2135	64609
32	2204	64585
33	2270	64502
34	2335	64399
35	2404	64381
36	2474	64412
37	2545	64443
38	2614	64421
39	2686	64486
40	2752	64381
41	2819	64307
42	2885	64210
43	2951	64117
44	3017	64032
45	3072	63724
46	3138	63644
47	3206	63602
48	3280	63660
49	3346	63581
50	3412	63508
51	3482	63480
52	3575	63891
53	3622	63465
54	3691	63424
55	3757	63341
56	3865	63944
57	3943	64041
58	4024	64188
59	4098	64206
60	4161	64053
61	4223	63902
62	4288	63782
63	4357	63730
64	4423	63634
65	4489	63529
66	4572	63675
67	4638	63571
68	4704	63475
69	4775	63449
70	4843	63374
71	4911	63301
72	4978	63224
73	5053	63236
74	5122	63181
75	5199	63217
76	5263	63094
77	5332	63027
78	5398	62932
79	5462	62823
80	5530	62752
81	5601	62705
82	5672	62675
83	5746	62664
84	5814	62588
85	5887	62570
86	5929	62222
87	5999	62173
88	6069	62130
89	6137	62053
90	6207	62008
91	6275	61932
92	6349	61923
93	6415	61836
94	6480	61731
95	6508	61287
96	6574	61202
97	6651	61221
98	6715	61114
99	6776	60989
100	6843	60913
101	6907	60808
102	6975	60751
103	7044	60688
104	7111	60614
105	7200	60728
106	7270	60681
107	7340	60624
108	7409	60565
109	7452	60298
110	7473	59852
111	7536	59757
112	7599	59652
113	7664	59567
114	7736	59538
115	7786	59342
116	7824	59051
117	7872	58841
118	7936	58759
119	8006	58713
120	8068	58611
121	8131	58521
122	8197	58449
123	8263	58379
124	8329	58308
125	8359	57986
126	8395	57714
127	8426	57404
128	8492	57342
129	8563	57307
130	8629	57243
131	8687	57123
132	8753	57059
133	8801	56883
134	8869	56831
135	8937	56778
136	8987	56612
137	9053	56552
138	9122	56506
139	9204	56544
140	9276	56514
141	9341	56445
142	9406	56374
143	9470	56297
144	9537	56236
145	9609	56210
146	9674	56139
147	9693	55803
148	9757	55727
149	9822	55663
150	9888	55600
151	9954	55537
152	10025	55498
153	10046	55189
154	10077	54937
155	10140	54863
156	10202	54782
157	10272	54744
158	10343	54708
159	10409	54647
160	10470	54565
161	10510	54368
162	10582	54339
163	10647	54278
164	10715	54228
165	10779	54159
166	10841	54080
167	10908	54020
168	10977	53977
169	11043	53920
170	11107	53846
171	11174	53795
172	11239	53727
173	11309	53687
174	11372	53613
175	11439	53555
176	11502	53482
177	11569	53428
178	11588	53151
179	11653	53087
180	11720	53031
181	11786	52973
182	11856	52933
183	11886	52714
184	11934	52575
185	12002	52527
186	12069	52471
187	12118	52340
188	12184	52282
189	12251	52231
190	12315	52164
191	12379	52098
192	12443	52031
193	12516	52003
194	12584	51952
195	12640	51850
196	12704	51784
197	12771	51731
198	12839	51679
199	12905	51622
200	12982	51606
201	13050	51556
202	13113	51484
203	13186	51452
204	13256	51410
205	13320	51343
206	13387	51285
207	13462	51259
208	13570	51358
209	13639	51311
210	13705	51250
211	13725	51015
212	13789	50949
213	13882	50987
214	13946	50922
215	14020	50890
216	14059	50730
217	14126	50672
218	14190	50604
219	14254	50539
220	14316	50465
221	14379	50392
222	14445	50333
223	14514	50280
224	14592	50261
225	14658	50201
226	14725	50145
227	14791	50082
228	14857	50023
229	14924	49964
230	14996	49922
231	15062	49861
232	15128	49799
233	15195	49742
234	15257	49668
235	15323	49607
236	15388	49540
237	15454	49481
238	15519	49416
239	15584	49350
240	15654	49303
241	15719	49237
242	15786	49178
243	15852	49116
244	15918	49054
245	15983	48989
246	16047	48922
247	16112	48857
248	16183	48811
249	16248	48744
250	16308	48666
251	16376	48609
252	16446	48560
253	16515	48507
254	16582	48445
255	16647	48381
256	16713	48319
257	16779	48256
258	16845	48194
259	16914	48140
260	16984	48091
261	17050	48026
262	17114	47960
263	17180	47898
264	17247	47836
265	17317	47784
266	17389	47738
267	17457	47683
268	17527	47631
269	17600	47586
270	17664	47518
271	17729	47451
272	17792	47380
273	17854	47309
274	17917	47236
275	17980	47165
276	18044	47097
277	18107	47026
278	18176	46973
279	18243	46912
280	18315	46864
281	18393	46831
282	18466	46785
283	18535	46730
284	18600	46664
285	18667	46604
286	18733	46539
287	18798	46473
288	18866	46415
289	18937	46363
290	19003	46300
291	19072	46244
292	19142	46189
293	19206	46122
294	19271	46055
295	19340	45999
296	19408	45939
297	19472	45871
298	19539	45809
299	19610	45757
300	19677	45695
301	19740	45625
302	19807	45563
303	19872	45497
304	19937	45431
305	20005	45371
306	20075	45316
307	20148	45269
308	20214	45204
309	20283	45147
310	20361	45109
311	20428	45047
312	20497	44990
313	20565	44930
314	20641	44886
315	20715	44839
316	20785	44783
317	20852	44720
318	20918	44656
319	20983	44590
320	21053	44534
321	21117	44463
322	21181	44395
323	21247	44332
324	21313	44266
325	21379	44202
326	21448	44142
327	21522	44094
328	21590	44033
329	21660	43977
330	21725	43910
331	21795	43853
332	21863	43793
333	21928	43726
334	22004	43679
335	22073	43621
336	22149	43575
337	22234	43548
338	22310	43501
339	22381	43446
340	22455	43396
341	22524	43337
342	22604	43298
343	22673	43237
344	22738	43170
345	22805	43107
346	22869	43037
347	22935	42970
348	23000	42903
349	23066	42838
350	23130	42768
351	23198	42705
352	23261	42635
353	23324	42564
354	23394	42505
355	23461	42441
356	23566	42446
357	23633	42381
358	23698	42313
359	23765	42250
